model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=230	0.011294329189974682	0.01622950601236015	0.0035878500766336908	0.015148257993457937	0.0014018147462137032	77.0	0.004357433804099289	0.03864677991423842	0.0	143.69253866518042	0.005145188103128442	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=241	0.011394945923837435	0.016190232879350074	0.003511216385676467	0.015291959986818562	0.0011263829322031294	53.0	0.004355532910114255	0.03855316776868122	0.0	146.19267103246483	0.004193782560282931	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=233	0.011638689199316692	0.016394755262359294	0.0035808833774557615	0.015612179338318394	0.0010140034477894577	38.0	0.0044551357968669455	0.0394803221998933	0.0	147.17129023268774	0.004745283817427981	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=233	0.011510741755508248	0.01638513458254215	0.0035251497840323256	0.015455677417499907	0.0010411790678386268	45.0	0.004391351620834033	0.03885995713496248	0.0	147.17526821791833	0.003978627710633826	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=267	0.011574908002177498	0.016277648366654095	0.003553016580744044	0.015577511716218698	0.0009623320817936376	33.0	0.004433294677417806	0.03924568738238343	0.0	147.7127211926989	0.004706175544005221	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=238	0.011387907955208738	0.016235018802636763	0.003518183084854396	0.015270866369863164	0.001143863999907735	54.0	0.004355225769482212	0.0385598263299917	0.0	146.02109516511075	0.004522962048126548	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=232	0.01148519512975347	0.01632157727535937	0.0035669499790999025	0.015482383097681969	0.0012281319248480527	61.0	0.004405687877305929	0.039043479404334135	0.0	145.45651386373135	0.004689862542118525	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=231	0.011526315219925445	0.016469286711064582	0.0035878500766336908	0.015324775351597144	0.0014817923693345447	103.0	0.0044000947062699265	0.03906303017624585	0.0	143.32977567228647	0.0034970079049263785	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=233	0.011516022838249524	0.016383475844642642	0.0035390831823881854	0.015455898582553175	0.0010368428730013202	45.0	0.0043985971154530045	0.03892860834689763	0.0	147.21855928660997	0.004087051492254802	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=232	0.011258228683081139	0.016132262503001545	0.0035599832799219733	0.015115442628679357	0.0014243398737885382	78.0	0.004338648004403452	0.03847266807286737	0.0	143.46678974501881	0.004982760408890863	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=227	0.011568264907188064	0.016574107573695717	0.00360178347498955	0.015347030085082194	0.0014426178111665022	98.0	0.004410713602285671	0.039161251799948955	0.0	143.6453253448516	0.003363456308818333	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=238	0.011418380871001178	0.01621926079259145	0.003511216385676467	0.015342164453910309	0.0011369897821141839	54.0	0.0043631582151543325	0.03862915155799808	0.0	146.09020482095585	0.00435909206394559	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=267	0.01128062647068154	0.01606471873439884	0.003511216385676467	0.015075522336564555	0.0017396930505301222	122.0	0.0043168549693550235	0.03837044518583861	0.0	140.86423993311968	0.003947308045190542	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=268	0.011555300708992054	0.016254426036060997	0.0035460498815661143	0.01555227125451453	0.0009602794122683944	31.0	0.004426090241754292	0.0391780009461124	0.0	147.73579490037616	0.0047252200508779065	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=232	0.011558929468230662	0.01652443974622319	0.00360875017416748	0.01536029998827825	0.0014616272554350829	100.0	0.004417189803390092	0.039224723184083495	0.0	143.48987738609446	0.003610386903327701	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=90	0.011593787947523027	0.01635399358145488	0.0035739166782778322	0.015584450769764968	0.0010283220693555473	36.0	0.004442091915051362	0.03935819596603515	0.0	146.86830848543957	0.005235019330465182	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=233	0.011646481600512303	0.016394755262359294	0.0035808833774557615	0.015627135625045613	0.0010105406109887083	38.0	0.004457761356039269	0.03950432225307352	0.0	147.2148042357531	0.0047259368847708295	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=233	0.011502188011721298	0.01635641077124902	0.0035739166782778322	0.01549825169025392	0.0012289635619591177	61.0	0.0044112990443214055	0.039095739701993974	0.0	145.41848265291904	0.0046722130610934755	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=235	0.011514824093683254	0.01640835691313525	0.0035321164832102553	0.015447024334790812	0.0010477000484643284	47.0	0.004391928211909977	0.03886733923214568	0.0	147.09694858576006	0.003937049319608801	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=267	0.011577035535602112	0.016277648366654095	0.003553016580744044	0.015582543221180535	0.0009592530775057728	29.0	0.004434023865292037	0.039252401698261434	0.0	147.75029956806463	0.004696248346723029	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=243	0.011259754015615044	0.01614967925094637	0.0035739166782778322	0.015117460759790424	0.0013942576959425912	74.0	0.00434292857979548	0.03850968843044113	0.0	143.69439180716176	0.005013944021784575	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=266	0.011532757638247019	0.016184759044281703	0.0035321164832102553	0.015549009069978836	0.0009633306026062272	34.0	0.004417668830686775	0.039098843406825526	0.0	147.66302076076352	0.004749954583358192	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=284	0.011271765609632509	0.016177347037775368	0.0035251497840323256	0.015040301801831689	0.0018260317240630375	129.0	0.004314513796745976	0.03836509384318047	0.0	140.17870976731223	0.004167641054499193	-1.0	4.14853195164076	-1.0	4.8901098901098905
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=266	0.011256842760042162	0.016085618831932626	0.003511216385676467	0.015037122554190967	0.001769504042361314	124.0	0.00430937460352475	0.03830493243666649	0.0	140.5997143653337	0.003985191537648378	-1.0	4.14853195164076	-1.0	4.8901098901098905
