model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=3_it=27	0.06318994325054968	0.08436011974684002	0.017298314058798944	0.07883638430524317	0.2530591778087844	8629.0	0.022908225279967682	0.2753558778953855	0.1013724397380521	32.68018670753798	0.020442284151983257	-0.19997231865389553	0.8295915533793731	-0.4254967807095064	2.080726015557477
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=1_it=22	0.06330270331559198	0.08454221680049351	0.017660582416051274	0.07931293970377154	0.2695380296177675	8893.0	0.023213397315244116	0.27902042428750484	0.10747526821791836	32.66033161488087	0.012706600869349244	-0.19671254417748835	0.8160682748088549	-0.48527037831923575	2.3730254763962635
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=2_it=175	0.06201310736851037	0.08425645648984054	0.017409781245645812	0.076619564039447	0.28510414439957066	8709.0	0.022595221228436598	0.27502114189296295	0.09939389717152014	29.76053364915703	0.01694662159975651	-0.174181485881881	0.7225974595652466	-0.360986407440138	1.7652632012182579
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=2_it=31	0.06377055592539105	0.08447994766289679	0.017514281733314752	0.07999733496110813	0.26929560600916547	8769.0	0.023281012168671	0.28130421645561815	0.10539222516371745	31.30670196460917	0.0192491160694859	-0.1798569059069203	0.7461421208781046	-0.40384294912258545	1.9748363995555012
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=64_l_w=0$001_n_layers=2_it=263	0.05287766771788368	0.07325407009859822	0.014741535460498818	0.06338963642676892	0.22510919652548667	7766.0	0.01891496221064361	0.22878586878047913	0.05530165807440435	32.01429566671311	0.01904481947189291	-0.21455599289545266	0.8900923919427925	-0.3576029962546817	1.7487179487179492
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=4_it=157	0.06104739894139835	0.08270938401747789	0.017096279782638987	0.07524648845186675	0.2927989919334393	8717.0	0.022227337639864612	0.270396165803332	0.10152570711996657	28.833154521387765	0.01261960864729797	-0.155826171750266	0.6464498524078393	-0.33955813659891426	1.6604766020496362
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=64_l_w=0$001_n_layers=3_it=263	0.05351891131996561	0.07384057003707109	0.014992336630904277	0.0646014273992538	0.23180352203323107	7879.0	0.019260070838597793	0.23288381272815095	0.058764107565835305	31.84182109516511	0.01872276124305445	-0.2072012951098397	0.8595811931845163	-0.34812944493540376	1.7023912417170846
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=1_it=255	0.060793891016043884	0.08203499839206335	0.01699177929497004	0.07538162029941325	0.2848454510207954	8787.0	0.022211233727691897	0.2697072429233996	0.10230597742789467	30.764239933119686	0.015039742167847585	-0.1866189174240955	0.7741945417144683	-0.3650465008626857	1.785117504218628
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=3_it=26	0.06324662955889794	0.08484941417190534	0.01764664901769542	0.07866840944728642	0.2749802879058141	8909.0	0.023045141115579412	0.2788091509394698	0.11169708791974364	31.280625609586178	0.016162043644014253	-0.17430720721154955	0.7231190185183798	-0.4273012666750831	2.089550150224308
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=4_it=26	0.06366399526035285	0.08530311022958419	0.017660582416051274	0.07941636201180578	0.27470663896601266	8869.0	0.02318771278102381	0.2806133839031487	0.11391946495750316	31.302737912776927	0.016989043790584926	-0.17268181002083405	0.7163760063385899	-0.41579766864453144	2.0332962917232584
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=1_it=59	0.06289985565709956	0.08239187323420986	0.016977845896614187	0.07932128868453238	0.3021667373164171	9104.0	0.022851500748670737	0.27782010060498497	0.1127281593980772	29.440894524174446	0.02165642119626965	-0.14142209940823558	0.586694098063181	-0.36639986533686836	1.7917356052187514
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=2_it=118	0.06279744885657833	0.08264130091417812	0.01720078027030793	0.07959580980690079	0.3270255304109868	9048.0	0.02302556139100246	0.28077042833934024	0.12842413264595234	28.076759091542428	0.01592454249666593	-0.1322354622474518	0.5485830402735391	-0.3334679964650928	1.6306951475490803
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=64_l_w=0$001_n_layers=1_it=274	0.051577987090171404	0.07220905153216674	0.014448934095025777	0.0614052053406937	0.21685666955509886	7609.0	0.01835677137326033	0.22171749174061114	0.051135571966002505	32.42930890344155	0.01992539596695589	-0.22747834956638896	0.9437012014826701	-0.36143752893153236	1.7674692348849654
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$001_n_layers=4_it=26	0.06294372989876212	0.08388904707094204	0.017256513863731365	0.07874534724019189	0.2460718337263147	8580.0	0.022863431272794738	0.27490469672223	0.09856485996934654	33.08807997770656	0.019039232053627862	-0.20900629420008163	0.8670692895830678	-0.44151159365399995	2.1590402107256046
