model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=299	0.03202030589301932	0.022243324265081296	0.025556170448256782	0.07576611238481742	0.0006878430557080151	144.0	0.0253961886423602	0.25861470488337956	0.0	1128.0122302158272	0.07380425329515422	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=238	0.031477499914241557	0.0221528872572481	0.024980630879911453	0.07486814943649475	0.00039328965862039933	28.0	0.024866354151451588	0.25252012108804645	0.0	1159.520514665191	0.07311969665992975	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=251	0.03125719809729849	0.02203184052497599	0.024692861095738795	0.07447191697191696	0.00038994977310979895	29.0	0.024650686636155574	0.2502489648835547	0.0	1161.4395904814612	0.07255561608427735	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=256_lr=0$001_bias_reg=0_u_reg=0$01_pos_i_reg=0$01_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=299	0.03161412595017393	0.022372087262398154	0.025168788046485892	0.0748361310951239	0.0003917224715466183	27.0	0.024959944644153992	0.2534803067759095	0.0	1160.4347260653017	0.07285185458052695	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=299	0.03187282012035607	0.022215396548116145	0.025428887659103488	0.07541935682223452	0.0007764088944447467	181.0	0.02528816030914934	0.257759224509915	0.0	1115.8111787493083	0.07451413383038052	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=286	0.03164015996841737	0.022293211228613382	0.025118981737686775	0.07505764619073971	0.00039652787466204487	29.0	0.024985180477894303	0.2537545794986909	0.0	1160.300370780299	0.07302280281711665	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=291	0.03137880998799121	0.02216984386764214	0.02526286662977311	0.07419514937500549	0.0005303466203310236	125.0	0.02490503574281901	0.25314275111610995	0.0	1143.130713890426	0.07255131778021705	-0.9999781335482277	3.6138228226612825	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=128_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=300	0.031398554728643974	0.021968618253822972	0.025002767017155512	0.07441712564014723	0.0005699573062091234	130.0	0.024879302442981765	0.2529444344281506	0.0	1140.2412230215828	0.07314107800039647	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=64_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$01_neg_i_reg=0$001_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=293	0.03126861127259415	0.022062570235085725	0.024753735473159934	0.07449146177563443	0.00038993282819821395	29.0	0.024666753853317815	0.2504475427753714	0.0	1158.9857553956836	0.07252303532034181	-1.0	3.6139018458717054	-1.0	6.452966901046132
BPRMF_seed=42_e=300_bs=1_f=512_lr=0$001_bias_reg=0_u_reg=0$001_pos_i_reg=0$001_neg_i_reg=0$01_up_neg_i_f=True_up_u=True_up_i=True_up_b=True_it=296	0.03189952776356692	0.022153404523327515	0.0254344216934145	0.07561080805685122	0.000714731588908113	156.0	0.025317256157154407	0.25788615984200275	0.0	1124.5013835085776	0.07549410442990978	-1.0	3.6139018458717054	-1.0	6.452966901046132
