model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=12	0.0695881190135735	0.047671164841006884	0.05598782512451578	0.15185113447703377	0.038077304771918064	5778.0	0.05834650329099629	0.6790826757725279	0.04328721638074156	472.0529607083564	0.144435759370235	-0.5097249959961433	1.84209610391741	-0.3359979396508978	2.168183583386939
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=12	0.06920074546802682	0.04709192801595626	0.05602656336469287	0.15236127581451323	0.05082458501585729	7054.0	0.058461424079937076	0.6847597528488527	0.05798561151079137	429.09812396236856	0.13321561975914553	-0.45080219728706894	1.6291548928987598	-0.3068110358992889	1.9798414595337879
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=12	0.0691222638101883	0.045808433311234534	0.055406751521859435	0.15359011691745506	0.02438993473993245	3782.0	0.05827547459884799	0.6651143641591716	0.026939679026009966	519.723469839513	0.15322042482357684	-0.5738811654960533	2.0739502032971924	-0.40354477404747824	2.604061070018518
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=15	0.06767548058345677	0.04586974540287261	0.05493082457111235	0.1487840716437839	0.028231066809484506	4289.0	0.057056415633135724	0.6534804619151263	0.030531267293857224	501.8550415052573	0.14935488092158417	-0.5501123324195699	1.9880519735678732	-0.4235586509057244	2.7332099549463935
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=38	0.06906353402479229	0.045209581307833924	0.055816270060874376	0.1529622895090521	0.021768265821691335	3502.0	0.058429432172383916	0.6621541659585412	0.022407304925290535	547.6108854454898	0.1520457567714012	-0.6268927334093509	2.265528806431613	-0.4806815911053018	3.101822397344704
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=30	0.06789315424105882	0.04593789885748763	0.054991698948533486	0.1505213850897304	0.0322580215581858	5047.0	0.057343590234642944	0.6573763709868679	0.033757609297177645	495.4735971223022	0.14488215197994236	-0.565644801995156	2.0441847940380296	-0.425643429745125	2.746662963793047
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=27	0.06750800894353061	0.0448706976002099	0.054477033757609296	0.15028893368821425	0.023921716854960473	3824.0	0.057012694571408985	0.6462082646084999	0.03053680132816823	525.5182346430548	0.14301340320322203	-0.6046399743224132	2.18510951929159	-0.4892291843468444	3.1569797336159833
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=18	0.06826614276613395	0.046288850824515455	0.05555063641394577	0.1490629254837888	0.0307818986112951	4903.0	0.0573751588407509	0.6580473701473657	0.033032650802434976	510.2470337576092	0.14524622004630083	-0.5633123804727781	2.035755651592957	-0.4039617298153585	2.6067516717878485
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=9	0.07050283938506825	0.047519900770394675	0.05669064748201439	0.15490420850133077	0.026055441838785276	3972.0	0.05923640528019895	0.6804567602963888	0.03151632540121749	512.3995683453238	0.14603386446156263	-0.5827370784638323	2.1059546035183287	-0.4181382259232827	2.698232131945093
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=13	0.06649798096424248	0.045562026129222874	0.053940232429441064	0.14563733628481831	0.03338824802606011	5113.0	0.05590540002601418	0.645066723145429	0.04553956834532374	485.38523519645815	0.14592376428034018	-0.5290986722663956	1.9121106683517954	-0.3622661530273458	2.337691494854775
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=30	0.06872828784322331	0.046111999509465255	0.055522966242390705	0.15105256454177318	0.03650829286142632	5615.0	0.057917018378744405	0.6664519457730296	0.038218040951853896	490.82879358052026	0.14452425702668864	-0.5549375294439894	2.0054897620011176	-0.4150110576641818	2.678052618675113
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=11	0.06601212611660345	0.04456811571633508	0.053408965135583845	0.14608100332920476	0.030416001488371758	4496.0	0.05570801339295837	0.6417958245164299	0.039695628112894295	467.9273104593249	0.13970890473462882	-0.5232457520086783	1.8909587890286912	-0.37936133951043094	2.4480061673973355
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=14	0.07089889310071228	0.04811957620878317	0.05717764250138351	0.1550799580116127	0.05125898433330056	7387.0	0.05974067971713098	0.6994841356716989	0.05532927504150526	443.14252351964586	0.13886495796211792	-0.4701467182882915	1.6990640930525815	-0.3099382041583898	2.0000209728037674
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=35	0.06866412907567392	0.046522084975433434	0.0553016048699502	0.1508534491088448	0.0345984449176755	5599.0	0.057677035716425115	0.6619506117524595	0.034366353071389036	509.32386275594905	0.14087888174782276	-0.55885162431123	2.0196349166667553	-0.4081312874941598	2.6336576894811556
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=12	0.0695064743169199	0.045887756044753876	0.05539014941892639	0.1547690419093297	0.019936039910741776	3311.0	0.058430935085151674	0.6640004958376116	0.02058660763696735	555.7889651355838	0.15702071320043665	-0.6202088879842864	2.241374045112451	-0.4137601903605414	2.6699808133671206
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=45	0.06875799005389985	0.045306652833188174	0.05526840066408412	0.1519009188253793	0.028824541480470534	4631.0	0.05803031720083269	0.661257514856343	0.03019922523519646	521.9779302711677	0.14968748084773992	-0.5888159520565299	2.127923056015799	-0.4514946873536929	2.913480273491552
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=55	0.0689006544291783	0.0470222837357798	0.05527946873270615	0.15121917850335118	0.033364062423490104	5423.0	0.057728247361573226	0.6604006191339842	0.03389042612064195	522.7042280022138	0.14786582599971732	-0.5776494840181453	2.087568536560014	-0.44044535950486957	2.8421793266042874
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=95	0.07007388782304144	0.0482885214851937	0.055843940232429445	0.152587358684481	0.06811565371361394	9783.0	0.058499171745725505	0.6824792542467885	0.05517432208079691	451.327686773658	0.13227121032009756	-0.4867141999144329	1.7589373454827395	-0.3309944704363362	2.1358963621549703
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=133	0.0704393298842907	0.0487213468313067	0.056386275594908684	0.1546112780105586	0.1014781237499055	12901.0	0.05919667775261118	0.7005096535646635	0.07359158826784726	416.9968068622025	0.12949029785732283	-0.4213626643843041	1.5227633105998564	-0.2626137245039954	1.6946376719847296
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=54	0.06668371594731452	0.04392902094554247	0.05370780298837853	0.1489571200182711	0.02645958058563269	4299.0	0.05641467123603126	0.6401242636674613	0.03076923076923077	528.3505810736027	0.14188521451517494	-0.6034300306576796	2.1807369016482085	-0.47317638728345957	3.0533915654967494
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=20	0.06678857995571037	0.04470657350658153	0.05372440509131157	0.14843206753278695	0.030034888269380944	4688.0	0.056254671164915844	0.6422502451567188	0.03623685666851134	503.98641947980076	0.14333609532491226	-0.5600105462551617	2.023823146819151	-0.4275197307005857	2.758770671755035
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=18	0.06886884183597237	0.04665038925891697	0.055296070835639186	0.15207627304749605	0.02886471265188395	4744.0	0.057778634193412406	0.6606549740570044	0.03190370780298838	534.7082789153293	0.1462653632472104	-0.574974488084668	2.077901363818321	-0.4208484384145036	2.715721043445743
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=45	0.0644744606523817	0.04269031653993609	0.05227448810182623	0.14404834374258835	0.01875722369181909	3141.0	0.054367770107225405	0.6113530859163994	0.026823464305478693	560.607935805202	0.141863993117819	-0.6450783324666419	2.331249776433039	-0.5159143534911725	3.32917824685315
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=14	0.06845070666725976	0.045413824295835625	0.054969562811289424	0.15160153196124418	0.023822292803814316	3695.0	0.05769000999482584	0.6564513136471192	0.027011621472053125	520.247437742114	0.15079941895699528	-0.5836700470727835	2.1093262604963576	-0.43544189029030805	2.8098921053723185
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=13	0.06696719584870285	0.04532998805859766	0.053912562257886	0.14759214606336907	0.03137994710493919	5027.0	0.05629107716810168	0.6474272663359938	0.04128389596015495	499.1266076369674	0.1505142954945927	-0.5440553252786446	1.9661625442808248	-0.3770680827870902	2.4332078576660163
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=28	0.06973193413390187	0.046492542067917815	0.05599335915882679	0.15477844098347696	0.022724925126300644	3847.0	0.05870666645905996	0.6672536293853388	0.02205866076369673	543.3105534034313	0.14988814086047247	-0.6224465548823179	2.2494607536456925	-0.46629661711343745	3.0089966363027925
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=50_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=44	0.0679954913244027	0.046319123994734465	0.0549142224681793	0.1492742948498344	0.05179644868544209	7745.0	0.05720838996624509	0.6643953883750767	0.0493912562257886	466.4410403984505	0.1360902996063383	-0.5072322204941018	1.8330874579292384	-0.34788117903548127	2.244865733812865
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=300_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=12	0.06727555430753873	0.04512765769351106	0.05431101272827892	0.14865819432366195	0.029620405740258038	4655.0	0.05666928373243173	0.6521236760097288	0.0373049252905368	488.84264526840064	0.1472306970441253	-0.533515695524399	1.9280733568571524	-0.3918700125468347	2.528724220477257
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=200_latent_dim=300_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=20	0.06717712324360171	0.044577146155102595	0.05409518539014942	0.14873683470805774	0.026651162796760275	4355.0	0.05653116194958083	0.6442184548633513	0.031223021582733816	528.2798339789706	0.14019026010692257	-0.5847050591233387	2.113066692456359	-0.4412792710406298	2.847560530142949
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=200_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=24	0.06876582875144711	0.045775807814150776	0.05550083010514665	0.15158284361521768	0.02000488882421847	3323.0	0.057909658063594015	0.656616535855013	0.01957387935805202	556.6003818483675	0.14683897293197934	-0.6339337308800295	2.2909742801876756	-0.47109160844405884	3.0399385566500965
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=50_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$19999999999999996_it=74	0.07000907621413316	0.048347641824142376	0.056314333148865525	0.15295460335028682	0.050206581064737854	7733.0	0.05875069108135707	0.6808053989261007	0.0411732152739347	482.86710016602103	0.13059316690091055	-0.5304179481899907	1.9168784020472902	-0.3637254982149263	2.347108601047433
MultiVAE_seed=42_e=300_bs=256_intermediate_dim=100_latent_dim=100_reg_lambda=0_lr=0$001_dropout_pkeep=0$0_it=29	0.06791387140892703	0.04506258224005816	0.054692861095738794	0.15074946636097716	0.028906500976135785	4524.0	0.05735677988406685	0.654775126516038	0.03179856115107914	516.697742114001	0.14947808101706297	-0.571373812359497	2.06488887516874	-0.4335655893348475	2.7977843974103305
