model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=4_it=3	0.2976955643443613	0.12580716716888343	0.2693543046357616	0.5201174051298224	0.08991495408713934	1361.0	0.23220518314626723	2.7290370635014543	0.028195364238410597	1031.3973178807948	0.33055913301047635	-0.40098904768724514	1.390020019877687	-0.3988215782420985	3.250075053691627
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$0001_n_layers=3_it=7	0.3096981329558762	0.13111997138483134	0.2799834437086093	0.5363750919793966	0.0994744925539629	1482.0	0.24106854175033107	2.838075826300979	0.027682119205298013	1045.1357781456954	0.3506603717274697	-0.39781556790876543	1.3790192196059443	-0.38538742356594424	3.1405974994107018
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=64_l_w=0$001_n_layers=3_it=9	0.3094998568328162	0.1295939152132467	0.2809602649006622	0.5326171423315463	0.09248100297769113	1419.0	0.23983243890777423	2.826963394185762	0.027168874172185428	1070.0668377483444	0.3494743675250225	-0.4195195065336126	1.4542554620238786	-0.42568988759440707	3.469030162253477
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=256_l_w=0$0001_n_layers=4_it=6	0.3037245511009889	0.12791444260281176	0.2749834437086093	0.5302323793755913	0.10685089665222092	1598.0	0.23905661251588214	2.8059789532932347	0.03127483443708609	1001.5298841059603	0.34898181372804127	-0.3509900970514775	1.2166997190928144	-0.34796370696808604	2.8356243124852676
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$0001_n_layers=2_it=3	0.2986619237640826	0.12622674649854035	0.26978476821192054	0.5238072900241774	0.0910694650098628	1376.0	0.23309144615042166	2.739404199770192	0.02834437086092715	1028.7354139072847	0.32996013120251344	-0.3995909412114114	1.385173513464262	-0.38826617099654887	3.1640569753280428
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=2_it=3	0.298704740166407	0.12613294194872357	0.2699172185430464	0.5234186113739093	0.09078390853225293	1373.0	0.2330919707214922	2.7394629248064595	0.028062913907284767	1029.9848675496687	0.3301929386120615	-0.40052301219530057	1.388404517739879	-0.38970554471185115	3.1757867132867132
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=2_it=7	0.3108749091623753	0.13203761985437562	0.2811258278145695	0.5370885892988542	0.09899493412738436	1481.0	0.24169518112460384	2.846020925630374	0.028062913907284767	1046.1670198675497	0.35144748162925893	-0.39945778821371297	1.3847119414248878	-0.3930640833808896	3.2031561018569445
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=1_it=3	0.3003130060871165	0.1271693515456712	0.2710927152317881	0.526110716913697	0.09027367825381105	1359.0	0.23377020683276126	2.7487571715756176	0.027185430463576157	1039.3028145695364	0.33306512071122135	-0.40802396439897987	1.414406409291271	-0.4151344803488572	3.383012083889893
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=128_l_w=0$001_n_layers=3_it=8	0.3056749978041481	0.13051797548998517	0.2774337748344371	0.5271848391674551	0.10750910754221987	1565.0	0.24006627956922738	2.8171853423256636	0.03139072847682119	1004.093940397351	0.35292540498695607	-0.3655037738006085	1.2670110713845613	-0.3666755652670153	2.988110905947985
LightGCN_seed=42_e=300_bs=256_lr=0$001_factors=512_l_w=0$001_n_layers=4_it=3	0.2977516516766538	0.1256267453620221	0.269271523178808	0.5204468227688427	0.08966093727683144	1360.0	0.23220681717338634	2.729143423466281	0.027831125827814572	1032.382798013245	0.33025182610432513	-0.40183235000600204	1.3929433094603882	-0.40074074319583486	3.2657147043031878
