model	nDCG	Recall	Precision	MRR	Gini	ItemCoverage	EPC	EFD	APLT	ARP	UserMADranking_WarmColdUsers	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-0_items:ItemPopularity-1	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-0	BiasDisparityBD_users:WarmColdUsers-1_items:ItemPopularity-1
RP3beta_neighborhood=100_alpha=2$0_beta=1$5_normalize_similarity=True	0.00019834891646941654	0.00011962286586988424	0.00018211920529801327	0.0005608115210764217	0.012450855430988006	266.0	0.00018511012445315242	0.0033114026881385346	1.0	1.5138907284768215	0.0007721277457295796	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=300_alpha=1$5_beta=0$8_normalize_similarity=True	0.162150497694289	0.08617272552455381	0.17610927152317882	0.2365547146010722	0.07018155422128902	1411.0	0.12142496118759036	1.457349110253903	0.48521523178807946	654.4814072847682	0.03144409962680661	-0.17762489404809736	0.615732923828089	-0.13349702338805267	1.0878933566433566
RP3beta_neighborhood=100_alpha=0$6_beta=1$5_normalize_similarity=True	0.0001494873706421247	7.934259054185008e-05	0.00011589403973509932	0.0004433406916850625	0.012214149730706114	243.0	0.00013499080837635013	0.0025608148470921996	1.0	1.0777649006622516	0.001734853915438516	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=0$6_beta=0$8_normalize_similarity=True	0.26661008097079236	0.11771614410406427	0.24728476821192052	0.4666297435088826	0.1253634700323445	1789.0	0.21634768506542737	2.528964561961639	0.13794701986754968	795.432119205298	0.15854017222578343	-0.20372288159699323	0.7062010435453592	-0.10470954908200789	0.8532985974699459
RP3beta_neighborhood=300_alpha=2$0_beta=1$5_normalize_similarity=True	0.00023490512126802407	0.00014432590381795532	0.0002317880794701987	0.0006364974245768947	0.012603916378750801	272.0	0.00022160800798384732	0.003908296656004887	1.0	1.5228642384105961	0.0007340982112852824	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=100_alpha=1$5_beta=1$5_normalize_similarity=True	0.00017941988236377154	0.00012006209332563081	0.00016556291390728477	0.0005095001576789657	0.011954465000822534	237.0	0.0001674225635932367	0.003046913801698354	1.0	1.2724006622516555	0.0007918196792463029	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=2$0_beta=0$8_normalize_similarity=True	0.04184849435476576	0.03574402331684808	0.051026490066225165	0.06289268632397771	0.04466958831197254	1168.0	0.031197161073843994	0.37969493532655896	0.8519370860927153	183.91907284768214	0.041979258593693274	0.16721917782460188	-0.5796617294768998	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=0$6_beta=1$5_normalize_similarity=True	0.0001984554286161101	0.00010703119853741101	0.00016556291390728477	0.0005276989382949648	0.01413192241006811	246.0	0.00017639032546354772	0.003310521833884779	1.0	1.066887417218543	0.0020324506030775093	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=1$0_beta=0$8_normalize_similarity=True	0.11314855138080716	0.06623588873586307	0.1119039735099338	0.21594508830022077	0.07274207078842843	1478.0	0.08665427705891156	1.0349304124193008	0.5683112582781457	470.23372516556293	0.10791167584498843	-0.01659853549810665	0.057538470878671394	0.11119650821332788	-0.9061620963306356
RP3beta_neighborhood=300_alpha=0$6_beta=1$5_normalize_similarity=True	0.00015705125767408415	9.74385370498323e-05	0.00014900662251655632	0.0003759329338799537	0.015153440617016622	247.0	0.0001401125120070588	0.00263891490066827	1.0	1.0628311258278145	0.001622931131156933	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=300_alpha=1$5_beta=1$5_normalize_similarity=True	0.00022902594216853153	0.000156775404725114	0.00021523178807947025	0.0006294675706927362	0.013403662542735284	253.0	0.00021327399618786038	0.003846515222683055	1.0	1.2848675496688742	0.001229449712379244	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=1$5_beta=0$8_normalize_similarity=True	0.0343163002045746	0.028948465254910287	0.036423841059602655	0.06677500525596552	0.05448913693946822	1298.0	0.025225334130872218	0.3059585174961558	0.8596523178807948	161.97688741721856	0.03449049373836809	0.18825735146095682	-0.6525901116979648	0.12271149793574569	-1.0
RP3beta_neighborhood=100_alpha=1$0_beta=1$5_normalize_similarity=True	0.0001653712693091292	0.00010034333587140406	0.0001490066225165563	0.00047665037317355197	0.011653956786407016	239.0	0.00015653514458394496	0.002872615344223634	1.0	1.1361423841059601	0.0012956698680924356	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=1$5_beta=0$8_normalize_similarity=True	0.13069773124789966	0.07779969308708226	0.1445860927152318	0.19546705823609797	0.06419766846919173	1367.0	0.0976974171707877	1.1728899635901846	0.5681291390728477	543.5814072847683	0.09818862485822136	-0.100950959540074	0.34994435782199235	0.04882364721689746	-0.39787345145491204
RP3beta_neighborhood=100_alpha=1$0_beta=0$8_normalize_similarity=True	0.18234468853184493	0.09986603592741915	0.18309602649006623	0.30110309576369176	0.07689303089965371	1436.0	0.1390796362167398	1.653690218943648	0.40125827814569537	689.6822350993377	0.14493891100057663	-0.19078484865396064	0.661351627052869	0.04738427350159533	-0.38614371349624155
RP3beta_neighborhood=300_alpha=1$0_beta=1$5_normalize_similarity=True	0.0002037442321945873	0.0001338135059399178	0.00018211920529801327	0.000563373804267844	0.01652035840777555	238.0	0.00018787968213079988	0.0034797455925854016	1.0	1.1339238410596026	0.0018052657008327802	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=0$6_beta=0$8_normalize_similarity=True	0.18302501890511513	0.08489514503314295	0.1700662251655629	0.35349528277094505	0.09202250715495752	1608.0	0.14674302280668103	1.731580592641457	0.3043377483443709	654.581821192053	0.023885988654309825	-0.11237992517585738	0.38956262453491236	0.0022838970887918823	-0.018611924124564673
RP3beta_neighborhood=300_alpha=1$0_beta=0$8_normalize_similarity=True	0.2840312041860211	0.12287430758949142	0.2701655629139073	0.4589905261221486	0.09266025206422557	1588.0	0.21789311389184315	2.5811503391916153	0.17850993377483446	961.8766721854304	0.2673446176896899	-0.38463342113661897	1.3333235877079352	-0.5979349421922415	4.872688804641053
RP3beta_neighborhood=100_alpha=0$6_beta=0$8_normalize_similarity=True	0.22199065843127538	0.1066790520758121	0.20885761589403973	0.3973934352990644	0.1138880753119158	1719.0	0.1802792067502671	2.1123172779670036	0.2211092715231788	698.8538741721853	0.018846013823424296	-0.12198913317642895	0.4228727400430571	0.01763721671868238	-0.14372912901705043
RP3beta_neighborhood=10_alpha=2$0_beta=1$5_normalize_similarity=True	0.00038846134696036446	0.0002883814096357259	0.0003807947019867549	0.0009532350467780932	0.03334831218937162	961.0	0.0003493360720845143	0.005690821575572691	0.9982119205298013	4.937880794701987	0.00025309390800368095	0.28843279006275635	-0.9998461426535421	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=2$0_beta=0$8_normalize_similarity=True	0.0073793313871850725	0.008381619382724598	0.008278145695364239	0.013225520340586565	0.04260522714165116	1124.0	0.005509897357787042	0.06867389757668528	0.9674337748344369	38.43246688741721	0.006552676133143592	0.271367014191072	-0.940687992940463	0.12271149793574569	-1.0
RP3beta_neighborhood=300_alpha=0$6_beta=0$8_normalize_similarity=True	0.2833072796636726	0.12237655082566526	0.26046357615894045	0.4919583070535057	0.1286701090012342	1835.0	0.22988768806766188	2.6799874495649725	0.10874172185430463	825.5421688741723	0.2484450714981113	-0.22558216538582201	0.7819757866758962	-0.16612282760157002	1.353767417039889
RP3beta_neighborhood=100_alpha=2$0_beta=0$8_normalize_similarity=True	0.023195968046880927	0.023767231029215723	0.02801324503311258	0.03583247923893619	0.03482359843286986	1036.0	0.017182038766553748	0.20998063741279674	0.9161258278145696	100.28953642384104	0.02295440559093454	0.22602841847475016	-0.7835227135336742	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=1$5_beta=1$5_normalize_similarity=True	0.00022865599963341315	0.000156775404725114	0.00021523178807947025	0.0006237517081887943	0.013102955453948684	252.0	0.00021254066449271258	0.003828220041488901	1.0	1.2746854304635762	0.001162003604869859	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=0$6_beta=1$5_normalize_similarity=True	0.0004772783403950113	0.0005026679470961427	0.0005132450331125828	0.0009960711657731524	0.030613310480860245	676.0	0.0004040224481492836	0.00590392411353736	0.9124834437086092	37.466076158940396	0.0008604807462771356	0.2867905697578089	-0.9941534208345981	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=1$0_beta=1$5_normalize_similarity=True	0.00018804968166460627	0.0001216299962309121	0.00014900662251655632	0.0005548328602964365	0.014307754473317558	231.0	0.00017110471211367987	0.0031866210328390346	1.0	1.1302152317880794	0.0014001883781875994	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=300_alpha=2$0_beta=0$8_normalize_similarity=True	0.056760619293003085	0.04301941846059375	0.06937086092715232	0.08234902239041311	0.05056537271769057	1260.0	0.04225614582809552	0.5142433928758715	0.802317880794702	254.11720198675496	0.053871672926769434	0.11486785756282843	-0.39818698932975577	0.1164742118361027	-0.9491711355124276
RP3beta_neighborhood=100_alpha=1$5_beta=0$8_normalize_similarity=True	0.07654274494660224	0.058334862287230144	0.08728476821192054	0.11863614264690424	0.050677375147573755	1232.0	0.05673475840038387	0.6823386893932673	0.7231291390728478	341.3760927152318	0.0777232579281911	0.04924562186377632	-0.1707089025916871	0.12223170669731173	-0.9960900873471098
RP3beta_neighborhood=200_alpha=2$0_beta=1$5_normalize_similarity=True	0.00023198154007541354	0.00014432590381795532	0.0002317880794701987	0.0006205981288762745	0.012613001321610473	269.0	0.0002186872696954817	0.0038586270251820516	1.0	1.5161920529801323	0.0007371396219644706	0.28847717439532256	-1.0	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=1$0_beta=1$5_normalize_similarity=True	0.00042852040110289216	0.00045906513226395194	0.0004635761589403973	0.0008751182592242195	0.031183510421921024	730.0	0.00037095188883382225	0.005807988283875885	0.9641556291390728	16.80658940397351	0.0008272286729629312	0.28816648406735973	-0.9989229985747944	0.12271149793574569	-1.0
RP3beta_neighborhood=10_alpha=1$5_beta=1$5_normalize_similarity=True	0.00036653248089717265	0.00027816035956999027	0.00036423841059602654	0.0009337879743508884	0.03301498970373129	871.0	0.000336609412661513	0.005651056757118695	0.9922019867549668	6.335281456953642	0.0009058390095551839	0.2884549822290396	-0.9999230713267709	0.12271149793574569	-1.0
RP3beta_neighborhood=200_alpha=1$0_beta=0$8_normalize_similarity=True	0.2586535534308831	0.11779963464248738	0.24928807947019868	0.42053965625985495	0.08903483555801472	1544.0	0.1980291574011105	2.3497443745090365	0.22978476821192054	901.7306622516555	0.11001489871239434	-0.3419356932079831	1.1853128204153938	-0.40361949062643937	3.2891741802205288
