model	nDCG	APLT
UserKNN_nn=10_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0310847390862535	0.2472899540197854
UserKNN_nn=20_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0355014131879063	0.2302703079281036
UserKNN_nn=20_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0461988577172743	0.2089661418419952
UserKNN_nn=30_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0537048429186594	0.1755468858854675
UserKNN_nn=50_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.062182176115658	0.1378291765361572
UserKNN_nn=100_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.063686558329937	0.122230737076773
UserKNN_nn=100_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0698894687386734	0.0958687473874878
UserKNN_nn=150_sim=dot_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0663370318697478	0.0968580186707538
UserKNN_nn=150_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0720848305992601	0.0822976173888811
UserKNN_nn=200_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.072867346347251	0.0764037898843528
UserKNN_nn=250_sim=cosine_imp=standard_bin=False_shrink=10_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0732895761425857	0.0736310436115368
