model	nDCG	APLT
EASER_neighborhood=25475_l2_norm=60$0	0.1256137579832447	0.0107747648035417
EASER_neighborhood=25475_l2_norm=70$0	0.126020155396249	0.0103652462645268
EASER_neighborhood=25475_l2_norm=80$0	0.1264022187504071	0.0099225235196458
EASER_neighborhood=25475_l2_norm=90$0	0.1266366659720037	0.0095628112894299
EASER_neighborhood=25475_l2_norm=100$0	0.1268059119874862	0.0093027116768123
EASER_neighborhood=25475_l2_norm=50$0	0.1246209893774405	0.0112451577199778
EASER_neighborhood=25475_l2_norm=120$0	0.1268489832603721	0.0088212506917542
EASER_neighborhood=25475_l2_norm=40$0	0.1231893633842954	0.0120475926950747
EASER_neighborhood=25475_l2_norm=30$0	0.1211299803223969	0.0129053680132816
EASER_neighborhood=25475_l2_norm=20$0	0.1175061476114746	0.0143442169341449
EASER_neighborhood=25475_l2_norm=10$0	0.1095864254560445	0.0170669618151632
EASER_neighborhood=25475_l2_norm=1$0	0.0724982921056574	0.0362977310459324
EASER_neighborhood=25475_l2_norm=0$9	0.0707063671986614	0.0376701715550636
EASER_neighborhood=25475_l2_norm=0$8	0.0687276075975148	0.039142224681793
EASER_neighborhood=25475_l2_norm=0$7	0.0665548506558254	0.0407526286662977
EASER_neighborhood=25475_l2_norm=0$6	0.0640981688149551	0.0425235196458218
EASER_neighborhood=25475_l2_norm=0$5	0.0611329282811686	0.0442888765910348
EASER_neighborhood=25475_l2_norm=0$4	0.0578829539420574	0.0463364692861095
EASER_neighborhood=25475_l2_norm=0$3	0.0541100691511132	0.0484781405644715
EASER_neighborhood=25475_l2_norm=0$2	0.0494078327814897	0.0505534034311012
EASER_neighborhood=25475_l2_norm=0$1	0.0426521466820068	0.0513558384061981
