model	nDCG	Gini	EPC
EASER_neighborhood=25475_l2_norm=60$0	0.1256137579832447	0.0456869243373632	0.104863589644233
EASER_neighborhood=25475_l2_norm=70$0	0.126020155396249	0.0448029795584842	0.1052297769444452
EASER_neighborhood=25475_l2_norm=80$0	0.1264022187504071	0.0439746975105179	0.1056134125860476
EASER_neighborhood=25475_l2_norm=90$0	0.1266366659720037	0.0432016337154027	0.1058314122637328
EASER_neighborhood=25475_l2_norm=100$0	0.1268059119874862	0.0426455816642843	0.1059771958467279
EASER_neighborhood=25475_l2_norm=50$0	0.1246209893774405	0.0465672081463838	0.1039975727084291
EASER_neighborhood=25475_l2_norm=120$0	0.1268489832603721	0.0414351675302124	0.1059913807363374
EASER_neighborhood=25475_l2_norm=40$0	0.1231893633842954	0.0475685755138468	0.102791368102246
EASER_neighborhood=25475_l2_norm=30$0	0.1211299803223969	0.0485665373885776	0.100972817751806
EASER_neighborhood=25475_l2_norm=20$0	0.1175061476114746	0.0497275149605098	0.097811889614382
EASER_neighborhood=25475_l2_norm=10$0	0.1095864254560445	0.0509806502579385	0.0908813632435061
EASER_neighborhood=25475_l2_norm=1$0	0.0724982921056574	0.0630499871848681	0.0593153360756367
EASER_neighborhood=25475_l2_norm=0$9	0.0707063671986614	0.063869672514385	0.0578585185298474
EASER_neighborhood=25475_l2_norm=0$8	0.0687276075975148	0.0647251433246234	0.0561887125223035
EASER_neighborhood=25475_l2_norm=0$7	0.0665548506558254	0.0655922770133277	0.0544036088288153
EASER_neighborhood=25475_l2_norm=0$6	0.0640981688149551	0.0661936832063633	0.0523458736016238
EASER_neighborhood=25475_l2_norm=0$5	0.0611329282811686	0.0669092394476323	0.0498733658015388
EASER_neighborhood=25475_l2_norm=0$4	0.0578829539420574	0.0676870678042812	0.0471911102219706
EASER_neighborhood=25475_l2_norm=0$3	0.0541100691511132	0.0679338813028076	0.0441225769071907
